document,document_id,field,final_status,internal_status,failure_stage,reason,value,baseline_state,formal_heading
01.Edital_credenciamento_01_2024.pdf,c8b8bc82a2ae07ac36dd8a047980f26a40d64132f5ffe4cb3dd8937cba292bb2,objeto,FOUND,FOUND,,Decisão preservada na baseline validated_current.,,CONSOLIDATED,
01.Edital_credenciamento_01_2024.pdf,c8b8bc82a2ae07ac36dd8a047980f26a40d64132f5ffe4cb3dd8937cba292bb2,modalidade,FOUND,FOUND,,Decisão preservada na baseline validated_current.,,CONSOLIDATED,
01.Edital_credenciamento_01_2024.pdf,c8b8bc82a2ae07ac36dd8a047980f26a40d64132f5ffe4cb3dd8937cba292bb2,valor_estimado,FOUND,FOUND,,Decisão preservada na baseline validated_current.,,CONSOLIDATED,
01.Edital_credenciamento_01_2024.pdf,c8b8bc82a2ae07ac36dd8a047980f26a40d64132f5ffe4cb3dd8937cba292bb2,prazo_entrega_proposta,FOUND,FOUND,,Novo candidato local validado nas três fontes de produção.,60 dias,NOT_FOUND,
01.Edital_credenciamento_01_2024.pdf,c8b8bc82a2ae07ac36dd8a047980f26a40d64132f5ffe4cb3dd8937cba292bb2,orgao_responsavel,FOUND,FOUND,,Novo candidato local validado nas três fontes de produção.,MINISTÉRIO DA DEFESA EXÉRCITO BRASILEIRO CMS - 3ª DE - 1ª BDA C MEC 2º REGIMENTO DE CAVALARIA MECANIZADO (6º Regimento de Cavalaria Ligeira / 1888) REGIMENTO JOÃO MANOEL,NOT_FOUND,
01.Edital_credenciamento_01_2024.pdf,c8b8bc82a2ae07ac36dd8a047980f26a40d64132f5ffe4cb3dd8937cba292bb2,uf,FOUND,FOUND,,Decisão preservada na baseline validated_current.,,CONSOLIDATED,
01.Edital_credenciamento_01_2024.pdf,c8b8bc82a2ae07ac36dd8a047980f26a40d64132f5ffe4cb3dd8937cba292bb2,criterio_julgamento,NOT_APPLICABLE,NOT_APPLICABLE,,Credenciamento sem competição não possui critério de julgamento de propostas aplicável.,,NOT_FOUND,
01.Edital_credenciamento_01_2024.pdf,c8b8bc82a2ae07ac36dd8a047980f26a40d64132f5ffe4cb3dd8937cba292bb2,prazo_execucao,FOUND,FOUND,,Decisão preservada na baseline validated_current.,,CONSOLIDATED,
01.Edital_credenciamento_01_2024.pdf,c8b8bc82a2ae07ac36dd8a047980f26a40d64132f5ffe4cb3dd8937cba292bb2,requisitos_habilitacao,FOUND,FOUND,,Decisão preservada na baseline validated_current.,,CONSOLIDATED,
02---Edital-Pregao-Eletronico.pdf,641991ceb6e660eca6788fa1f67f78ad3535fd2e51a3827e44dccf301f4a57c8,objeto,FOUND,FOUND,,Decisão preservada na baseline validated_current.,,CONSOLIDATED,
02---Edital-Pregao-Eletronico.pdf,641991ceb6e660eca6788fa1f67f78ad3535fd2e51a3827e44dccf301f4a57c8,modalidade,FOUND,FOUND,,Decisão preservada na baseline validated_current.,,CONSOLIDATED,
02---Edital-Pregao-Eletronico.pdf,641991ceb6e660eca6788fa1f67f78ad3535fd2e51a3827e44dccf301f4a57c8,valor_estimado,FOUND,FOUND,,Decisão preservada na baseline validated_current.,,CONSOLIDATED,
02---Edital-Pregao-Eletronico.pdf,641991ceb6e660eca6788fa1f67f78ad3535fd2e51a3827e44dccf301f4a57c8,prazo_entrega_proposta,FOUND,FOUND,,Decisão preservada na baseline validated_current.,,CONSOLIDATED,
